Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date","Last Trade","Avg IV","30D His Vol"
SBUX|20220311|65.00C,SBUX,65.00,+33.32%,32.50,32.83,33.15,0.00,0.00,unch,0,0,0.00,68.01%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|70.00C,SBUX,70.00,+28.19%,27.50,27.80,28.10,0.00,0.00,unch,0,0,0.00,53.47%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|75.00C,SBUX,75.00,+23.06%,22.55,22.95,23.35,0.00,0.00,unch,0,0,0.00,54.66%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|80.00C,SBUX,80.00,+17.93%,17.60,17.98,18.35,0.00,0.00,unch,0,0,0.00,44.45%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|85.00C,SBUX,85.00,+12.80%,12.60,13.00,13.40,0.00,0.00,unch,0,0,0.00,34.15%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|90.00C,SBUX,90.00,+7.67%,7.90,8.13,8.35,0.00,0.00,unch,0,0,0.00,25.42%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|91.00C,SBUX,91.00,+6.65%,7.10,7.28,7.45,6.77,0.72,+11.90%,1,0,0.00,25.41%,Call,30,03/11/22,"09:33 ET",22.83%,23.14%
SBUX|20220311|92.00C,SBUX,92.00,+5.62%,6.25,6.43,6.60,0.00,0.00,unch,0,0,0.00,24.87%,Call,30,03/11/22,N/A,22.83%,23.14%
SBUX|20220311|93.00C,SBUX,93.00,+4.60%,5.45,5.60,5.75,4.15,0.00,unch,0,0,0.00,24.21%,Call,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|94.00C,SBUX,94.00,+3.57%,4.65,4.83,5.00,2.94,0.00,unch,0,0,0.00,23.69%,Call,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|95.00C,SBUX,95.00,+2.54%,4.00,4.10,4.20,4.00,1.24,+44.93%,4,1,4.00,22.21%,Call,30,03/11/22,"10:32 ET",22.83%,23.14%
SBUX|20220311|96.00C,SBUX,96.00,+1.52%,3.35,3.45,3.55,3.38,1.31,+63.29%,6,51,0.12,22.27%,Call,30,03/11/22,"09:37 ET",22.83%,23.14%
SBUX|20220311|97.00C,SBUX,97.00,+0.49%,2.77,2.85,2.93,2.85,0.94,+49.21%,2,0,0.00,22.57%,Call,30,03/11/22,"10:46 ET",22.83%,23.14%
SBUX|20220311|98.00C,SBUX,98.00,-0.53%,2.27,2.36,2.44,2.41,1.04,+75.91%,4,30,0.13,23.09%,Call,30,03/11/22,"10:43 ET",22.83%,23.14%
SBUX|20220311|99.00C,SBUX,99.00,-1.56%,1.84,1.94,2.03,1.90,0.76,+66.67%,1,11,0.09,22.41%,Call,30,03/11/22,"10:45 ET",22.83%,23.14%
SBUX|20220311|100.00C,SBUX,100.00,-2.59%,1.43,1.54,1.64,1.32,0.40,+43.48%,1,55,0.02,22.49%,Call,30,03/11/22,"09:41 ET",22.83%,23.14%
SBUX|20220311|101.00C,SBUX,101.00,-3.61%,1.13,1.21,1.30,1.25,0.61,+95.31%,5,"1,141",0.00,22.81%,Call,30,03/11/22,"10:43 ET",22.83%,23.14%
SBUX|20220311|102.00C,SBUX,102.00,-4.64%,0.87,0.97,1.06,0.95,0.32,+50.79%,2,34,0.06,22.44%,Call,30,03/11/22,"09:56 ET",22.83%,23.14%
SBUX|20220311|103.00C,SBUX,103.00,-5.66%,0.64,0.74,0.84,0.45,0.00,unch,0,14,0.00,22.51%,Call,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|104.00C,SBUX,104.00,-6.69%,0.47,0.59,0.70,0.55,0.07,+14.58%,5,83,0.06,22.30%,Call,30,03/11/22,"10:28 ET",22.83%,23.14%
SBUX|20220311|105.00C,SBUX,105.00,-7.71%,0.38,0.46,0.54,0.35,0.00,unch,0,0,0.00,23.06%,Call,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|106.00C,SBUX,106.00,-8.74%,0.28,0.36,0.43,0.33,0.00,unch,0,87,0.00,23.24%,Call,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|107.00C,SBUX,107.00,-9.77%,0.21,0.30,0.38,0.25,0.00,unch,0,0,0.00,23.90%,Call,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|108.00C,SBUX,108.00,-10.79%,0.14,0.24,0.34,0.21,0.00,unch,0,4,0.00,24.40%,Call,30,03/11/22,02/07/22,22.83%,23.14%
SBUX|20220311|109.00C,SBUX,109.00,-11.82%,0.12,0.20,0.28,0.22,0.00,unch,0,5,0.00,25.01%,Call,30,03/11/22,02/08/22,22.83%,23.14%
SBUX|20220311|110.00C,SBUX,110.00,-12.84%,0.11,0.17,0.22,0.15,-0.01,-6.25%,5,23,0.22,25.05%,Call,30,03/11/22,"09:58 ET",22.83%,23.14%
SBUX|20220311|115.00C,SBUX,115.00,-17.97%,0.05,0.10,0.14,0.13,0.00,unch,0,6,0.00,29.75%,Call,30,03/11/22,02/03/22,22.83%,23.14%
SBUX|20220311|120.00C,SBUX,120.00,-23.10%,0.01,0.18,0.34,0.15,0.00,unch,0,14,0.00,0.00%,Call,30,03/11/22,01/28/22,22.83%,23.14%
